task_id,user_id_1,user_id_2,submission_1,submission_2,overlap_percentage
A,120455878,120457382,118983753,118984047,93.45794392523364
A,120455878,120453361,118983859,118982127,93.51851851851852
A,120455878,120460323,118983859,118986163,93.51851851851852
A,120455878,120460323,118983859,118986192,93.51851851851852
A,120455878,120453235,118983859,118982679,93.51851851851852
A,120455878,120453112,118983859,118982062,93.51851851851852
A,120455878,120457523,118983859,118984103,93.51851851851852
A,120455878,120457523,118983859,118984109,93.51851851851852
A,120455878,120453327,118983859,118982003,93.51851851851852
A,120455878,120454535,118983859,118985472,93.51851851851852
A,120455878,120453111,118983859,118983400,93.51851851851852
A,120455878,120455503,118983859,118983077,93.51851851851852
A,120455878,120453333,118983859,118983315,93.51851851851852
A,120455878,120456407,118983859,118983651,93.51851851851852
A,120455878,120453240,118983859,118982135,93.51851851851852
A,120455878,120453103,118983859,118982223,93.51851851851852
A,120455878,120459448,118983859,118985374,93.51851851851852
A,120455878,120459448,118983859,118985967,93.51851851851852
A,120455878,120457704,118983859,118984152,93.51851851851852
A,120455878,120457704,118983859,118984315,93.51851851851852
A,120455878,120326208,118983859,118981946,93.51851851851852
A,120455878,120453245,118983859,118982825,93.51851851851852
A,120455878,120457382,118983859,118984027,93.51851851851852
A,120455878,120453331,118983859,118981980,93.51851851851852
A,120455878,120455046,118983859,118982911,93.51851851851852
A,120455878,120453244,118983859,118982116,93.51851851851852
A,120455878,120453614,118983859,118982201,93.51851851851852
A,120455878,120454056,118983859,118982194,93.51851851851852
A,120455878,120454056,118983859,118982187,93.51851851851852
A,120455878,120454056,118983859,118982209,93.51851851851852
A,120455878,120453483,118983859,118985684,93.51851851851852
A,120455878,120453615,118983859,118982247,93.51851851851852
A,120455878,120453361,118983842,118982127,93.51851851851852
A,120455878,120460323,118983842,118986163,93.51851851851852
A,120455878,120460323,118983842,118986192,93.51851851851852
A,120455878,120453235,118983842,118982679,93.51851851851852
A,120455878,120453112,118983842,118982062,93.51851851851852
A,120455878,120457523,118983842,118984103,93.51851851851852
A,120455878,120457523,118983842,118984109,93.51851851851852
A,120455878,120453327,118983842,118982003,93.51851851851852
A,120455878,120454535,118983842,118985472,93.51851851851852
A,120455878,120453111,118983842,118983400,93.51851851851852
A,120455878,120455503,118983842,118983077,93.51851851851852
A,120455878,120453333,118983842,118983315,93.51851851851852
A,120455878,120456407,118983842,118983651,93.51851851851852
A,120455878,120453240,118983842,118982135,93.51851851851852
A,120455878,120453103,118983842,118982223,93.51851851851852
A,120455878,120459448,118983842,118985374,93.51851851851852
A,120455878,120459448,118983842,118985967,93.51851851851852
A,120455878,120457704,118983842,118984152,93.51851851851852
A,120455878,120457704,118983842,118984315,93.51851851851852
A,120455878,120326208,118983842,118981946,93.51851851851852
A,120455878,120453245,118983842,118982825,93.51851851851852
A,120455878,120457382,118983842,118984027,93.51851851851852
A,120455878,120453331,118983842,118981980,93.51851851851852
A,120455878,120455046,118983842,118982911,93.51851851851852
A,120455878,120453244,118983842,118982116,93.51851851851852
A,120455878,120453614,118983842,118982201,93.51851851851852
A,120455878,120454056,118983842,118982194,93.51851851851852
A,120455878,120454056,118983842,118982187,93.51851851851852
A,120455878,120454056,118983842,118982209,93.51851851851852
A,120455878,120453483,118983842,118985684,93.51851851851852
A,120455878,120453615,118983842,118982247,93.51851851851852
A,120455878,120453361,118983722,118982127,93.51851851851852
A,120455878,120460323,118983722,118986163,93.51851851851852
A,120455878,120460323,118983722,118986192,93.51851851851852
A,120455878,120453235,118983722,118982679,93.51851851851852
A,120455878,120453112,118983722,118982062,93.51851851851852
A,120455878,120457523,118983722,118984103,93.51851851851852
A,120455878,120457523,118983722,118984109,93.51851851851852
A,120455878,120453327,118983722,118982003,93.51851851851852
A,120455878,120454535,118983722,118985472,93.51851851851852
A,120455878,120453111,118983722,118983400,93.51851851851852
A,120455878,120455503,118983722,118983077,93.51851851851852
A,120455878,120453333,118983722,118983315,93.51851851851852
A,120455878,120456407,118983722,118983651,93.51851851851852
A,120455878,120453240,118983722,118982135,93.51851851851852
A,120455878,120453103,118983722,118982223,93.51851851851852
A,120455878,120459448,118983722,118985374,93.51851851851852
A,120455878,120459448,118983722,118985967,93.51851851851852
A,120455878,120457704,118983722,118984152,93.51851851851852
A,120455878,120457704,118983722,118984315,93.51851851851852
A,120455878,120326208,118983722,118981946,93.51851851851852
A,120455878,120453245,118983722,118982825,93.51851851851852
A,120455878,120457382,118983722,118984027,93.51851851851852
A,120455878,120453331,118983722,118981980,93.51851851851852
A,120455878,120455046,118983722,118982911,93.51851851851852
A,120455878,120453244,118983722,118982116,93.51851851851852
A,120455878,120453614,118983722,118982201,93.51851851851852
A,120455878,120454056,118983722,118982194,93.51851851851852
A,120455878,120454056,118983722,118982187,93.51851851851852
A,120455878,120454056,118983722,118982209,93.51851851851852
A,120455878,120453483,118983722,118985684,93.51851851851852
A,120455878,120453615,118983722,118982247,93.51851851851852
A,120361849,120544167,118935163,119091438,90.47619047619048
A,120361849,120509474,118935163,119033411,90.47619047619048
A,120361849,120455378,118935163,118984507,90.58823529411764
A,120361849,120362674,118935163,118935566,94.67455621301777
A,120361849,120549989,118935163,119093579,90.47619047619048
A,120361849,120504904,118935163,119031544,95.23809523809524
A,120361849,120544074,118935163,119083148,90.47619047619048
A,120361849,120562124,118935163,119118385,90.47619047619048
A,120361849,120562124,118935163,119118264,90.47619047619048
A,120542858,120542679,119080364,119080108,91.06382978723404
A,120542858,120553324,119080364,119098721,91.06382978723404
A,120542858,120542675,119080364,119080144,91.06382978723404
A,120542858,120543077,119080364,119081415,91.06382978723404
A,120542858,120543211,119080364,119081588,91.06382978723404
A,120542858,120542309,119080364,119092066,91.52542372881356
A,120542858,120450060,119080364,118979793,91.06382978723404
A,120542858,120542638,119080364,119080665,91.06382978723404
A,120542858,120460619,119080364,118986389,91.06382978723404
A,120542858,120546714,119080364,119101338,91.06382978723404
